기능 ID,API/ 데이터,개발 난이도,기능명,백엔드 처리,비고,설명,우선순위,입력,출력,프론트 처리
TODO-03,자체 DB,하,'오늘은 피하세요' 리스트,TODO-02 결과 필터링 및 정렬,피하세요 항목은 수행 여부를 체크하지 않음,오늘 피해야 할 행동을 근거 문구와 함께 제시한다. (와이어프레임 09),high," TODO-02 추천 결과 중 오늘 '피할 것' 구분","항목 리스트 {제목, 근거 문구}",
TODO-07,자체 DB,,TODO 진행도 표시 바,,,‘오늘 밤 체크리스트’ 리스트의 진행도를 바 형태로 화면 상단에 표기한다.,,TODO-05 항목별 완료 상태,체크리스트 진행 상황,
TODO-04,자체 DB,하,'오늘 밤 체크리스트' 리스트,TODO-02 결과 필터링 + 사용자별 완료 상태 조인,mvp 이후 올리브영 등 제품 추가,오늘 수행할 행동을 근거 문구와 함께 제시한다. 사용자가 체크해 완료 처리한다(TODO-05),high,TODO-02 추천 결과 중 오늘 '할 것' 구분,"항목 리스트 {제목, 근거 문구, 완료 상태}",
TODO-01,클라이언트 로컬 시각,중,날짜 및 제목,,,TODO 탭 상단에 날짜와 ‘오늘의 투두리스트’ 멘트를 제시한다. (와이어프레임 09 / 플로우차트 '날짜 및 제목'),high,오늘 날짜,날짜 문자열,
TODO-06,자체 DB (액션 마스터),중,TODO 추가항목 선택,사용자 커스텀 항목 저장 및 당일 TODO 목록에 병합,"직접 입력된 항목은 리포트, Exp 집계에 반영 불가",자동 추천 외에 사용자가 직접 항목을 입력하여 TODO에 추가한다.,medium,직접 입력 텍스트,추가된 사용자 TODO 항목,
TODO-08,자체 DB + 로컬 푸시 알림,상,저녁 수면 가이드 (취침 목표 · 취침 알림 설정),취침 시각별 깊은수면 확보량 시뮬레이션 → 다음날 장벽 지수 추정 → 취침 30분 전 알림 예약(예: 22:40),[미정] 시나리오별 지수 추정 모델 — HOME-08 개인 가중치 재사용 권장,"권장 취침 시각을 제시하고, 권장 취침 시각 30분 전 취침 알림을 설정한다.",high,"오늘 피부 지표, 개인 수면 패턴, 현재 시각","권장 취침 시각, 취침 알림 예약 시각",
TODO-02,자체 DB (액션 마스터 + 룰셋),상,리포트 기반 행동 추천 (추천 엔진),"지표별 임계값 룰 매칭 → 액션 후보 추출 → 최소 3개, 최대 5개 반환",❗️[최대 작업량] 액션 마스터 데이터(항목명·근거 문구·매칭 조건) 구축 필요 — 개발보다 콘텐츠 작업량이 큼 / [확정 필요] 룰 기반 생성 vs LLM 생성 — 해커톤 범위에서는 룰 기반 권장(재현성·비용) / 구분별 노출 개수는 3개~5개,예보·검증 결과를 근거로 오늘 '할 것'과 '피할 것'을 산출한다. TODO 리스트 전체의 원천이 되는 핵심 로직. 【화면 이동】결과를 TODO-03(피하세요)와 TODO-04(이렇게)로 분기. (플로우차트 '리포트 기반 행동 추천'),high,"오늘 예보 4지표, 직전 셀피 검증 결과(HOME-07), 수면 지표","추천 액션 목록 {구분(피하세요/이렇게), 제목, 근거 문구}",
TODO-05,자체 DB,중,TODO 리스트 체크·완료 처리,체크 상태 저장 → 일자별 달성률 집계 → 리포트의 '앱이 도와준 항목'(REP-10) 집계에 반영,[연동] HOME-04 게이미피케이션 EXP 지급 연동 여부는 게이미피케이션 방향 확정 후 결정 / 자정 지나면 리셋되는 규칙 필요,‘오늘 밤 체크리스트’ 항목을 실제 체크 가능한 리스트로 관리하고 달성률을 집계한다. 상태 2종(완료/미완료)을 가진다. (와이어프레임 09 / 플로우차트 'TODO 리스트'),high,"사용자 ID, 항목 ID, 체크 상태","항목별 완료 상태, 일자별 달성률",
